id,name,image,infopic,role,picture_file_name,picture_content_type,picture_file_size,picture_updated_at,created_at,updated_at
89,Seguro,https://bitacoradelmotoneto.files.wordpress.com/2017/03/macro-20130703_115443ph_01.jpg,Vista,fotosComp,,,,,2017-03-30 17:30:57.076319,2017-03-30 17:30:57.076319
90,Chapetas,https://bitacoradelmotoneto.files.wordpress.com/2017/03/macro-20130703_120533ph_01.jpg,Detalle,fotosComp,,,,,2017-03-30 17:32:32.236279,2017-03-30 17:32:32.236279
91,Piezas Decorativas,https://bitacoradelmotoneto.files.wordpress.com/2017/03/macro-20130703_121334ph_01.jpg,Vista General,fotosComp,,,,,2017-03-30 17:33:01.602692,2017-03-30 17:33:01.602692
92,Tornillos,https://bitacoradelmotoneto.files.wordpress.com/2017/03/macro-20130625_160925ph_01.jpg,Vista General,fotosComp,,,,,2017-03-30 17:33:23.668756,2017-03-30 17:33:23.668756
93,Triptico,https://bitacoradelmotoneto.files.wordpress.com/2017/03/opcion-7a.jpg,Render general,fotosCuadros,,,,,2017-03-30 17:36:22.501199,2017-03-30 18:06:43.320421
94,Foto Grafiti,https://bitacoradelmotoneto.files.wordpress.com/2017/03/cuadros-20131117_151326ph_01_01.jpg,Vista,fotosCuadros,,,,,2017-03-30 18:07:15.066973,2017-03-30 18:07:15.066973
95,Fotos Grafitis,https://bitacoradelmotoneto.files.wordpress.com/2017/03/cuadros-20131117_151241ph_01_01.jpg,Vista,fotosCuadros,,,,,2017-03-30 18:07:37.819346,2017-03-30 18:07:37.819346
96,Panorámico Roraima,https://bitacoradelmotoneto.files.wordpress.com/2017/03/cuadros-20131003_094423ph_01.jpg,Vista,fotosCuadros,,,,,2017-03-30 18:08:05.905084,2017-03-30 18:08:05.905084
98,Tríptico texturas,https://bitacoradelmotoneto.files.wordpress.com/2017/03/dsc0015tratada_1-20110923_160038.jpg,Vista,fotosCuadros,,,,,2017-03-30 18:08:58.263228,2017-03-30 18:08:58.263228
97,Foto Grafiti,https://bitacoradelmotoneto.files.wordpress.com/2017/03/1378045_10151952530816411_1555402432_n.jpg,Vista,fotosCuadros,,,,,2017-03-30 18:08:28.04323,2017-03-30 18:08:28.04323
99,Foto Perro,https://bitacoradelmotoneto.files.wordpress.com/2017/03/dsc0006-20110923_153055.jpg,Impresión 1.3 x 1.2 mts,fotosCuadros,,,,,2017-03-30 18:13:35.149392,2017-03-30 18:13:35.149392
100,Foto Fantasma,https://bitacoradelmotoneto.files.wordpress.com/2017/03/dsc0003ph_01.jpg,Impresión en poliestireno,fotosCuadros,,,,,2017-03-30 18:14:04.317163,2017-03-30 18:14:04.317163
123,Doble,https://bitacoradelmotoneto.files.wordpress.com/2017/04/retiro-20120603_143243.jpg,Buenos Aires | Argentina,fotosDetalles,,,,,2017-04-03 03:29:36.677886,2017-04-03 03:29:36.677886
6,Cuidado!,https://bitacoradelmotoneto.files.wordpress.com/2017/04/aletsch-20160601_133853.jpg,Aletschgletscher | Suiza,fotosDetalles,,,,,2017-03-28 03:50:34.024386,2017-04-03 02:55:15.455408
101,Calle Guatemala,https://bitacoradelmotoneto.files.wordpress.com/2017/04/alto-palermo-20120909_165156.jpg,Buenos Aires | Argentina,fotosDetalles,,,,,2017-04-03 02:57:26.791019,2017-04-03 02:57:26.791019
102,Pasajeros,https://bitacoradelmotoneto.files.wordpress.com/2017/04/da-lat-20160226_165434.jpg,Da Lat | Vietnam,fotosDetalles,,,,,2017-04-03 02:58:54.182775,2017-04-03 02:58:54.182775
103,Musgo,https://bitacoradelmotoneto.files.wordpress.com/2017/04/dia-117-20120226_121522.jpg,Bariloche | Argentina,fotosDetalles,,,,,2017-04-03 03:00:01.833122,2017-04-03 03:00:01.833122
104,Lámpara,https://bitacoradelmotoneto.files.wordpress.com/2017/04/dia-151-20121005_102638.jpg,Montevideo | Uruguay,fotosDetalles,,,,,2017-04-03 03:02:07.924761,2017-04-03 03:02:07.924761
105,Cables,https://bitacoradelmotoneto.files.wordpress.com/2017/04/dia-181-20121104_112700.jpg,Rio de Janeiro | Brasil,fotosDetalles,,,,,2017-04-03 03:04:31.793311,2017-04-03 03:04:31.793311
106,Signo Cauchero,https://bitacoradelmotoneto.files.wordpress.com/2017/04/dia-237-238-20130311_133518.jpg,Alter Do Chão | Brasil,fotosDetalles,,,,,2017-04-03 03:06:42.599669,2017-04-03 03:06:42.599669
107,Especias,https://bitacoradelmotoneto.files.wordpress.com/2017/04/freiburg-20160520_105944.jpg,Freiburg | Alemania,fotosDetalles,,,,,2017-04-03 03:08:29.587871,2017-04-03 03:08:29.587871
108,Doppeltreppe,https://bitacoradelmotoneto.files.wordpress.com/2017/04/graz-20140714_122334.jpg,Graz | Austria,fotosDetalles,,,,,2017-04-03 03:09:23.885133,2017-04-03 03:09:23.885133
109,Temppelaukion kirkko,https://bitacoradelmotoneto.files.wordpress.com/2017/04/helsinki-20140805_121615.jpg,Helsinki | Finlandia,fotosDetalles,,,,,2017-04-03 03:12:35.675868,2017-04-03 03:12:35.675868
110,Vaca budista,https://bitacoradelmotoneto.files.wordpress.com/2017/04/hong-kong-20160217_045433.jpg,Hong Kong,fotosDetalles,,,,,2017-04-03 03:13:35.145661,2017-04-03 03:13:35.145661
111,Sultan Ahmed,https://bitacoradelmotoneto.files.wordpress.com/2017/04/istambul-20140528_114359.jpg,Istambul | Turquia,fotosDetalles,,,,,2017-04-03 03:14:37.387341,2017-04-03 03:14:37.387341
112,Dragón,https://bitacoradelmotoneto.files.wordpress.com/2017/04/kazan-20140726_173511.jpg,Kazan | Rusia,fotosDetalles,,,,,2017-04-03 03:15:53.107398,2017-04-03 03:15:53.107398
113,Alumbrado,https://bitacoradelmotoneto.files.wordpress.com/2017/04/kocc88ln-20150509_154216.jpg,Köln | Alemania,fotosDetalles,,,,,2017-04-03 03:17:41.425517,2017-04-03 03:17:41.425517
114,Camões,https://bitacoradelmotoneto.files.wordpress.com/2017/04/lisboa-20150405_152821.jpg,Lisboa | Portugal,fotosDetalles,,,,,2017-04-03 03:18:56.349323,2017-04-03 03:18:56.349323
115,Fachada,https://bitacoradelmotoneto.files.wordpress.com/2017/04/lisboa-20150407_124840.jpg,Lisboa | Portugal,fotosDetalles,,,,,2017-04-03 03:19:53.523488,2017-04-03 03:19:53.523488
